-101 -0.2006 -0.0231 -0.1079  0.0468 -0.1260  0.0000
-201 -0.0002  0.1070 -0.0827 -0.0969  0.1377  0.0000
-701 -0.0059 -0.0328 -0.1904  0.0989 -0.2896  0.0000
-801 -0.2069  0.1676  0.2221 -0.1662 -0.0066  0.0000
 101  0.0498 -0.0410 -0.1668 -0.3422  0.1084  0.0000
 801 -0.0186  0.0750  0.3493 -0.0415 -0.2275  0.0000
-102 -0.1156 -0.0018 -0.1303 -0.0332 -0.0464  0.0000
-202  0.0481 -0.0513 -0.0347  0.1206  0.1131  0.0000
-302  0.1059 -0.0729  0.0481 -0.0416  0.0544  0.0000
-602 -0.0984 -0.1592 -0.2970  0.0021 -0.1220  0.0000
-702 -0.0350 -0.0113 -0.2912  0.0615 -0.2144  0.0000
-802 -0.1107  0.1383  0.1892  0.0178 -0.0585  0.0000
 102 -0.0216 -0.0140 -0.1854 -0.2088  0.1315  0.0000
 802  0.0226  0.0714  0.3718 -0.1571 -0.2341  0.0000
-103 -0.1396  0.0940 -0.0964 -0.0443  0.0493  0.0000
-203 -0.0180 -0.0651 -0.0385  0.0335  0.1036  0.0000
-303  0.0831 -0.1061  0.1918 -0.0436  0.1870  0.0000
-403 -0.0183  0.1249  0.0618 -0.1597 -0.0683  0.0000
-503  0.0897  0.0244  0.2151 -0.2607  0.0929  0.0000
-603  0.0315 -0.0545 -0.2693 -0.2005  0.1455  0.0000
-703 -0.0159  0.1418 -0.1358 -0.1976  0.2117  0.0000
-803 -0.1388  0.0767  0.2533 -0.1155  0.0674  0.0000
 103  0.0131  0.0357 -0.2491 -0.0627  0.1676  0.0000
 203  0.2277  0.0278 -0.1420 -0.0058  0.0304  0.0000
 303  0.1348  0.1726  0.0261  0.0034  0.1311  0.0000
 403  0.1766  0.0962  0.1335  0.0604 -0.0015  0.0000
 503  0.1038  0.0009  0.2229  0.1284 -0.0493  0.0000
 603 -0.0495 -0.1714 -0.2451 -0.0288 -0.1146  0.0000
 703  0.0511 -0.0004 -0.0616  0.0729 -0.3140  0.0000
 803 -0.0392  0.0219  0.4272 -0.1321 -0.2857  0.0000
-104 -0.1617  0.0893 -0.1451  0.0007 -0.0699  0.0000
-204  0.0551 -0.1141 -0.0341  0.3418  0.0815  0.0000
-304  0.0608 -0.1932  0.2532  0.1218  0.1806  0.0000
-404  0.0802 -0.0366  0.0763  0.0938 -0.0263  0.0000
-504  0.0129 -0.2001  0.2565 -0.0607  0.0606  0.0000
-604 -0.0363 -0.0520 -0.2342 -0.1472  0.1917  0.0000
-704 -0.0957  0.0371 -0.0361 -0.0497  0.3208  0.0000
-804 -0.1639  0.1310  0.2010 -0.0164  0.0244  0.0000
 104 -0.0510  0.1175 -0.2469  0.0732  0.1964  0.0000
 204  0.1538  0.0460 -0.1426 -0.0764  0.0681  0.0000
 304  0.0048 -0.0530  0.0887  0.1218  0.0582  0.0000
 404  0.2231  0.0604  0.0735  0.0790  0.0852  0.0000
 504 -0.0631 -0.2364  0.2565 -0.1249 -0.0777  0.0000
 604 -0.0689 -0.2169 -0.1846 -0.0703 -0.2993  0.0000
 704  0.0633  0.0725 -0.0049 -0.0672 -0.3605  0.0000
 804  0.0960  0.1264  0.3714  0.1082 -0.2101  0.0000
-105 -0.2044 -0.0354 -0.1509  0.1021 -0.0668  0.0000
-205 -0.0695 -0.0422 -0.0183 -0.0719  0.0697  0.0000
-305  0.1234 -0.0541  0.2469 -0.1172  0.0809  0.0000
-405 -0.2194  0.1114  0.0213 -0.1286 -0.1975  0.0000
-505  0.0327 -0.1315  0.2267 -0.0539 -0.0067  0.0000
-605  0.0209 -0.0979 -0.2509 -0.0927  0.2044  0.0000
-705 -0.1082  0.0506 -0.0410 -0.0259  0.3433  0.0000
-805 -0.0436  0.0341  0.2017 -0.0604  0.0380  0.0000
 105  0.0480  0.0530 -0.1692  0.0802  0.0334  0.0000
 205  0.1066  0.2019 -0.1258  0.2516  0.0680  0.0000
 305 -0.0313 -0.0907  0.1154  0.0091  0.0543  0.0000
 405  0.1321 -0.0623  0.1410 -0.0916 -0.0104  0.0000
 505 -0.0499 -0.1231  0.2837 -0.0151 -0.0531  0.0000
 605 -0.0736 -0.2076 -0.1889 -0.0070 -0.2838  0.0000
 705  0.0881 -0.0027  0.0148  0.0305 -0.3884  0.0000
 805  0.0684 -0.0333  0.3535 -0.0690 -0.1559  0.0000
-106 -0.1442 -0.0209 -0.0794  0.1316  0.0398  0.0000
-206  0.0242 -0.0282 -0.0616  0.0536 -0.0377  0.0000
-306  0.0341 -0.1185  0.2391  0.0276  0.0456  0.0000
-406 -0.0850  0.0618  0.0534 -0.0744 -0.1382  0.0000
-506 -0.1252  0.0753  0.1627  0.1563 -0.1045  0.0000
-606 -0.1342  0.2866 -0.2532 -0.1735  0.1806  0.0000
-706 -0.1540  0.0352 -0.0573 -0.0948  0.2858  0.0000
-806 -0.0812 -0.0550  0.1479  0.1617 -0.0493  0.0000
 106  0.0209  0.0340 -0.1616  0.1520  0.0376  0.0000
 206  0.1034 -0.0344 -0.1310 -0.1126  0.0920  0.0000
 306  0.0326  0.0087  0.1280  0.1382  0.0892  0.0000
 406  0.1581 -0.1182  0.1256 -0.2018  0.0382  0.0000
 506  0.0820  0.1366  0.3521 -0.0309 -0.2105  0.0000
 606 -0.0180  0.1604 -0.1841 -0.0211 -0.2827  0.0000
 706  0.2132  0.0483 -0.0471  0.1185 -0.3046  0.0000
 806  0.0175  0.0882  0.3273  0.0772 -0.0972  0.0000
-107 -0.1969  0.0604 -0.1243  0.1664 -0.0080  0.0000
-207  0.0140 -0.0479 -0.0696  0.1800 -0.0088  0.0000
-307  0.1304 -0.2020  0.2703  0.0907  0.0532  0.0000
-407 -0.1861  0.1208  0.0552 -0.1217 -0.1064  0.0000
-507 -0.1462  0.2078  0.1801 -0.1006 -0.0658  0.0000
-607 -0.1023  0.1434 -0.2723  0.0397  0.1980  0.0000
-707 -0.0654 -0.1026 -0.0809  0.1161  0.2471  0.0000
 107  0.0055  0.0581 -0.1262  0.0127  0.0136  0.0000
 207  0.1725  0.0770 -0.1470 -0.0262  0.1285  0.0000
 307  0.0029 -0.0904  0.0900  0.0765  0.1509  0.0000
 407  0.1575  0.0051  0.1458  0.0164 -0.0129  0.0000
 507  0.0960  0.1772  0.3993 -0.0394 -0.2198  0.0000
 607  0.0675  0.0164 -0.2136 -0.1319 -0.2228  0.0000
 707  0.1221  0.0884 -0.0511  0.2253 -0.3261  0.0000
 807  0.0346  0.0308  0.3457  0.0474 -0.1160  0.0000
-108 -0.1941  0.0445 -0.1457  0.0431 -0.0168  0.0000
-808 -0.1493  0.0462  0.1384 -0.0215 -0.1188  0.0000
 108 -0.0464  0.0748 -0.1401  0.1903  0.0118  0.0000
 808  0.0771 -0.0087  0.3240  0.0164 -0.0916  0.0000
-109 -0.1836 -0.0669 -0.1359  0.1978  0.0102  0.0000
-209 -0.0228  0.0819 -0.0995 -0.1915 -0.0104  0.0000
-309  0.0561 -0.0363  0.2131  0.2625 -0.0152  0.0000
-409 -0.1179  0.0190  0.0650  0.0571 -0.0705  0.0000
-509 -0.1558 -0.1754  0.1793 -0.0362 -0.0954  0.0000
